rank,start,start X,start Y,end,end X,end Y
1,10,1472289.886,3450122.548,23,1480171.271,3448672.364
2,30,1481912.016,3410641.427,31,1476249.414,3409886.388
3,29,1487644.908,3410985.242,30,1481912.016,3410641.427
4,25,1490494.465,3431198.763,26,1495037.617,3427586.79
5,12,1480317.968,3426346.923,27,1472175.899,3421494.573
6,9,1466448.251,3466356.859,21,1463749.807,3457956.549
7,30,1481912.016,3410641.427,33,1481792.092,3402403.009
8,34,1478801.676,3400051.071,35,1476388.434,3393172.751
9,10,1472289.886,3450122.548,21,1463749.807,3457956.549
10,31,1476249.414,3409886.388,33,1481792.092,3402403.009
11,9,1466448.251,3466356.859,10,1472289.886,3450122.548
12,16,1453223.622,3394226.599,36,1460639.974,3390251.814
13,13,1484062.911,3419651.038,30,1481912.016,3410641.427
14,12,1480317.968,3426346.923,25,1490494.465,3431198.763
15,23,1480171.271,3448672.364,24,1472386.303,3445122.891
16,13,1484062.911,3419651.038,29,1487644.908,3410985.242
17,11,1476636.598,3460697.253,23,1480171.271,3448672.364
18,13,1484062.911,3419651.038,28,1495150.18,3421917.31
19,33,1481792.092,3402403.009,35,1476388.434,3393172.751
20,29,1487644.908,3410985.242,33,1481792.092,3402403.009
21,25,1490494.465,3431198.763,28,1495150.18,3421917.31
22,11,1476636.598,3460697.253,21,1463749.807,3457956.549
23,5,1400015.985,3349699.171,6,1365929.726,3345708.33
24,12,1480317.968,3426346.923,28,1495150.18,3421917.31
25,12,1480317.968,3426346.923,26,1495037.617,3427586.79
26,4,1386034.761,3401217.389,18,1379825.561,3388059.488
27,31,1476249.414,3409886.388,34,1478801.676,3400051.071
28,13,1484062.911,3419651.038,31,1476249.414,3409886.388
29,10,1472289.886,3450122.548,12,1480317.968,3426346.923
30,28,1495150.18,3421917.31,29,1487644.908,3410985.242
31,40,1497070.756,3333539.353,42,1503414.147,3338380.803
32,13,1484062.911,3419651.038,27,1472175.899,3421494.573
33,12,1480317.968,3426346.923,31,1476249.414,3409886.388
34,13,1484062.911,3419651.038,26,1495037.617,3427586.79
35,30,1481912.016,3410641.427,34,1478801.676,3400051.071
36,31,1476249.414,3409886.388,32,1464692.301,3408727.984
37,27,1472175.899,3421494.573,31,1476249.414,3409886.388
38,13,1484062.911,3419651.038,25,1490494.465,3431198.763
39,10,1472289.886,3450122.548,22,1451403.587,3453713.792
40,6,1365929.726,3345708.33,37,1372427.084,3373219.067
41,1,1461940.02,3420439.442,12,1480317.968,3426346.923
42,29,1487644.908,3410985.242,34,1478801.676,3400051.071
43,35,1476388.434,3393172.751,36,1460639.974,3390251.814
44,31,1476249.414,3409886.388,35,1476388.434,3393172.751
45,21,1463749.807,3457956.549,22,1451403.587,3453713.792
46,9,1466448.251,3466356.859,22,1451403.587,3453713.792
47,5,1400015.985,3349699.171,14,1427749.67,3409196.992
48,27,1472175.899,3421494.573,32,1464692.301,3408727.984
49,10,1472289.886,3450122.548,25,1490494.465,3431198.763
50,12,1480317.968,3426346.923,23,1480171.271,3448672.364
